model_id,kd_steps,leaf_task,selected_rows,nonempty_responses,empty_responses,correct,fixed_denominator_accuracy_percent
architecture_05357c1774af922e,128,action_antonym,8,8,0,2,25.0
architecture_05357c1774af922e,128,action_count,8,8,0,1,12.5
architecture_05357c1774af922e,128,action_localization,8,8,0,4,50.0
architecture_05357c1774af922e,128,action_prediction,8,8,0,2,25.0
architecture_05357c1774af922e,128,action_sequence,8,8,0,6,75.0
architecture_05357c1774af922e,128,character_order,8,8,0,0,0.0
architecture_05357c1774af922e,128,counterfactual_inference,8,8,0,2,25.0
architecture_05357c1774af922e,128,egocentric_navigation,8,8,0,2,25.0
architecture_05357c1774af922e,128,episodic_reasoning,8,8,0,4,50.0
architecture_05357c1774af922e,128,fine_grained_action,8,8,0,2,25.0
architecture_05357c1774af922e,128,fine_grained_pose,8,8,0,3,37.5
architecture_05357c1774af922e,128,moving_attribute,8,8,0,5,62.5
architecture_05357c1774af922e,128,moving_count,8,8,0,3,37.5
architecture_05357c1774af922e,128,moving_direction,8,8,0,4,50.0
architecture_05357c1774af922e,128,object_existence,8,8,0,5,62.5
architecture_05357c1774af922e,128,object_interaction,8,8,0,3,37.5
architecture_05357c1774af922e,128,object_shuffle,8,8,0,1,12.5
architecture_05357c1774af922e,128,scene_transition,8,8,0,5,62.5
architecture_05357c1774af922e,128,state_change,8,8,0,3,37.5
architecture_05357c1774af922e,128,unexpected_action,8,8,0,6,75.0
architecture_05357c1774af922e,256,action_antonym,8,8,0,2,25.0
architecture_05357c1774af922e,256,action_count,8,8,0,2,25.0
architecture_05357c1774af922e,256,action_localization,8,8,0,4,50.0
architecture_05357c1774af922e,256,action_prediction,8,8,0,2,25.0
architecture_05357c1774af922e,256,action_sequence,8,8,0,4,50.0
architecture_05357c1774af922e,256,character_order,8,8,0,0,0.0
architecture_05357c1774af922e,256,counterfactual_inference,8,8,0,1,12.5
architecture_05357c1774af922e,256,egocentric_navigation,8,8,0,2,25.0
architecture_05357c1774af922e,256,episodic_reasoning,8,8,0,3,37.5
architecture_05357c1774af922e,256,fine_grained_action,8,8,0,2,25.0
architecture_05357c1774af922e,256,fine_grained_pose,8,8,0,3,37.5
architecture_05357c1774af922e,256,moving_attribute,8,8,0,7,87.5
