model_id,checkpoint_stage,kd_steps,benchmark,metric,value,unit,numerator,denominator,sample_count,repetition,evaluation_contract_id,row_selection_identity_sha256,row_manifest_sha256,evaluator_id,request_count,image_count,concurrency,aggregation,comparison_model_id,interval_lower,interval_upper
teacher,teacher,,realworldqa,exact_match_flexible_extract,0.6,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-repeat2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,,,,,,,
teacher,teacher,,mmmu_val,mmmu_acc,0.35,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-repeat2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,,,,,,,
student-smoke-ffn2048-p90,pre_kd,0,realworldqa,exact_match_flexible_extract,0.19,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-repeat2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,,,,,,,
student-smoke-ffn2048-p90,pre_kd,0,mmmu_val,mmmu_acc,0.24,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-repeat2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,,,,,,,
teacher,teacher,,synthetic_vlm_serving,output_token_throughput,93.78348129618817,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,1,1,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput,94.98255661859301,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,1,1,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput_delta_vs_teacher,1.2822878973251892,percent,,,8,,,,,aiperf-0.12.0,64,1,1,mean_of_same_gpu_percent_differences,teacher,0.5598772552224591,2.0046985394279195
teacher,teacher,,synthetic_vlm_serving,output_token_throughput,348.1818546540807,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,1,4,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput,353.26831247142997,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,1,4,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput_delta_vs_teacher,1.4812553664019525,percent,,,8,,,,,aiperf-0.12.0,64,1,4,mean_of_same_gpu_percent_differences,teacher,0.24606951277760558,2.7164412200262995
teacher,teacher,,synthetic_vlm_serving,output_token_throughput,69.10924314970289,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,6,1,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput,69.9096539827224,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,6,1,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput_delta_vs_teacher,1.1699482025480725,percent,,,8,,,,,aiperf-0.12.0,64,6,1,mean_of_same_gpu_percent_differences,teacher,0.005329125949009583,2.3345672791471355
teacher,teacher,,synthetic_vlm_serving,output_token_throughput,199.78927708493964,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,6,4,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput,204.51828060226552,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,6,4,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput_delta_vs_teacher,2.4194946072868344,percent,,,8,,,,,aiperf-0.12.0,64,6,4,mean_of_same_gpu_percent_differences,teacher,-0.991779239448312,5.830768454021981
teacher,teacher,,synthetic_vlm_serving,output_token_throughput,50.22017802206594,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,12,1,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput,50.552390611760764,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,12,1,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput_delta_vs_teacher,0.6674613821347417,percent,,,8,,,,,aiperf-0.12.0,64,12,1,mean_of_same_gpu_percent_differences,teacher,-0.1967054707780348,1.5316282350475183
teacher,teacher,,synthetic_vlm_serving,output_token_throughput,134.94660785055413,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,12,4,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput,135.0380214922698,tokens_per_second,,,8,,,,,aiperf-0.12.0,64,12,4,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput_delta_vs_teacher,0.07081141188201023,percent,,,8,,,,,aiperf-0.12.0,64,12,4,mean_of_same_gpu_percent_differences,teacher,-1.0086826968284868,1.1503055205925072
teacher,teacher,,synthetic_vlm_serving,output_token_throughput,66.60694693752019,tokens_per_second,,,8,,,,,aiperf-0.12.0,256,6,1,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput,67.87353705421121,tokens_per_second,,,8,,,,,aiperf-0.12.0,256,6,1,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput_delta_vs_teacher,1.9393545306539015,percent,,,8,,,,,aiperf-0.12.0,256,6,1,mean_of_same_gpu_percent_differences,teacher,0.26674204974702453,3.6119670115607785
teacher,teacher,,synthetic_vlm_serving,output_token_throughput,194.17697929721626,tokens_per_second,,,8,,,,,aiperf-0.12.0,256,6,4,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput,199.05118418544595,tokens_per_second,,,8,,,,,aiperf-0.12.0,256,6,4,mean_across_gpu_slots,,,
student-smoke-ffn2048-p90,pre_kd,0,synthetic_vlm_serving,output_token_throughput_delta_vs_teacher,2.5322735141526276,percent,,,8,,,,,aiperf-0.12.0,256,6,4,mean_of_same_gpu_percent_differences,teacher,0.7890036055634846,4.27554342274177
